DATE,Bitcoin (USD)
05-06-2019,7767.00
06-06-2019,7812.00
07-06-2019,7992.00
08-06-2019,7939.00
09-06-2019,7624.00
10-06-2019,8046.00
11-06-2019,7918.00
12-06-2019,8169.00
13-06-2019,8256.00
14-06-2019,8694.00
15-06-2019,8861.00
16-06-2019,8997.00
17-06-2019,9346.00
18-06-2019,9090.00
19-06-2019,9284.00
20-06-2019,9543.00
21-06-2019,10176.00
22-06-2019,10658.00
23-06-2019,10809.00
24-06-2019,11040.00
25-06-2019,11737.00
26-06-2019,12903.00
27-06-2019,11127.00
28-06-2019,12318.00
29-06-2019,11914.00
30-06-2019,10779.00
01-07-2019,10571.00
02-07-2019,10885.00
03-07-2019,12023.00
04-07-2019,11131.00
05-07-2019,11039.00
06-07-2019,11188.00
07-07-2019,11479.00
08-07-2019,12298.00
09-07-2019,12559.00
10-07-2019,12083.00
11-07-2019,11324.00
12-07-2019,11812.00
13-07-2019,11408.00
14-07-2019,10190.00
15-07-2019,10856.00
16-07-2019,9436.00
17-07-2019,9709.00
18-07-2019,10654.00
19-07-2019,10548.00
20-07-2019,10755.00
21-07-2019,10634.00
22-07-2019,10305.00
23-07-2019,9833.00
24-07-2019,9751.00
25-07-2019,9881.00
26-07-2019,9842.00
27-07-2019,9469.00
28-07-2019,9550.00
29-07-2019,9503.00
30-07-2019,9580.00
31-07-2019,10099.00
01-08-2019,10417.00
02-08-2019,10533.00
03-08-2019,10821.00
04-08-2019,10998.00
05-08-2019,11775.00
06-08-2019,11440.00
07-08-2019,12014.00
08-08-2019,12018.00
09-08-2019,11889.00
10-08-2019,11284.00
11-08-2019,11532.00
12-08-2019,11387.00
13-08-2019,10856.00
14-08-2019,10105.00
15-08-2019,10281.00
16-08-2019,10369.00
17-08-2019,10218.00
18-08-2019,10309.00
19-08-2019,10936.00
20-08-2019,10771.00
21-08-2019,10138.00
22-08-2019,10089.00
23-08-2019,10415.00
24-08-2019,10156.00
25-08-2019,10149.00
26-08-2019,10374.00
27-08-2019,10170.00
28-08-2019,9710.00
29-08-2019,9525.00
30-08-2019,9581.00
31-08-2019,9594.00
01-09-2019,9770.00
02-09-2019,10405.00
